#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Wed Nov 19 20:49:16 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Action_Count_map.ncd
#OUTPUT FILE:      Action_Count_pad.csv
#PART TYPE:        xc2s100
#SPEED GRADE:      -5
#PACKAGE:          pq208
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,GND,,,,,,,,,,,,,
P2,,,TMS,,,,,,,,,,,,,
P3,,IOB,IO,UNUSED,,7,,,,,,,,,,
P4,,IOB,IO,UNUSED,,7,,,,,,,,,,
P5,,IOB,IO,UNUSED,,7,,,,,,,,,,
P6,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P7,,IOB,IO,UNUSED,,7,,,,,,,,,,
P8,,IOB,IO,UNUSED,,7,,,,,,,,,,
P9,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P10,,IOB,IO,UNUSED,,7,,,,,,,,,,
P11,,,GND,,,,,,,,,,,,,
P12,,,VCCO,,,0,,,,,3.30,,,,,
P13,,,VCCINT,,,,,,,,2.5,,,,,
P14,,IOB,IO,UNUSED,,7,,,,,,,,,,
P15,,IOB,IO,UNUSED,,7,,,,,,,,,,
P16,,IOB,IO,UNUSED,,7,,,,,,,,,,
P17,,IOB,IO,UNUSED,,7,,,,,,,,,,
P18,,IOB,IO,UNUSED,,7,,,,,,,,,,
P19,,,GND,,,,,,,,,,,,,
P20,,IOB,IO_VREF_7,UNUSED,,7,,,,,,,,,,
P21,,IOB,IO,UNUSED,,7,,,,,,,,,,
P22,,IOB,IO,UNUSED,,7,,,,,,,,,,
P23,,IOB,IO,UNUSED,,7,,,,,,,,,,
P24,,PCIIOB,IO_IRDY,UNUSED,,7,,,,,,,,,,
P25,,,GND,,,,,,,,,,,,,
P26,,,VCCO,,,0,,,,,3.30,,,,,
P27,,PCIIOB,IO_TRDY,UNUSED,,6,,,,,,,,,,
P28,,,VCCINT,,,,,,,,2.5,,,,,
P29,,IOB,IO,UNUSED,,6,,,,,,,,,,
P30,,IOB,IO,UNUSED,,6,,,,,,,,,,
P31,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P32,,,GND,,,,,,,,,,,,,
P33,,IOB,IO,UNUSED,,6,,,,,,,,,,
P34,,IOB,IO,UNUSED,,6,,,,,,,,,,
P35,,IOB,IO,UNUSED,,6,,,,,,,,,,
P36,,IOB,IO,UNUSED,,6,,,,,,,,,,
P37,,IOB,IO,UNUSED,,6,,,,,,,,,,
P38,,,VCCINT,,,,,,,,2.5,,,,,
P39,,,VCCO,,,0,,,,,3.30,,,,,
P40,,,GND,,,,,,,,,,,,,
P41,,IOB,IO,UNUSED,,6,,,,,,,,,,
P42,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P43,,IOB,IO,UNUSED,,6,,,,,,,,,,
P44,,IOB,IO,UNUSED,,6,,,,,,,,,,
P45,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P46,,IOB,IO,UNUSED,,6,,,,,,,,,,
P47,,IOB,IO,UNUSED,,6,,,,,,,,,,
P48,,IOB,IO,UNUSED,,6,,,,,,,,,,
P49,,IOB,IO,UNUSED,,6,,,,,,,,,,
P50,,,M1,,,,,,,,,,,,,
P51,,,GND,,,,,,,,,,,,,
